text,factcheck_publicprivate,factcheck_violenceform,location,lat,long,date_time,weekday
"Headline: Hinterzarten, Mathisleweiher: Unbekannter Exhibitionist, Zeugen gesucht!

Description: Am Samstagabend, 28.06.2025, soll eine 32-jährige Frau zwischen 18:00 Uhr und 19:00 Uhr am Mathisleweiher in Hinterzarten von einem unbekannten Mann mit belanglosem Inhalt angesprochen worden sein. Einige Zeit später sei die Frau von Passanten darüber informiert worden, dass sich in ihrer Nähe hinter einem Gebüsch ein nackter Mann aufhalten und ...",in public,"harassment (e.g. verbal, exhibitionism)",Freiburg,47.9990077,7.842104299999999,2025-07-02 16:30:00,Wednesday
"Headline: Unbekannter belästigt Frau in Parkanlage +++ Zwei Körperverletzungen in Oberursel +++ Werkzeuge von Baustellen gestohlen

Description: 1. Unbekannter belästigt Frau in Parkanlage, Kronberg, Victoriapark, Dienstag, 01.07.2025, 10.10 Uhr (da)Am Dienstagvormittag hat ein Unbekannter in einer Kronberger Parkanlage eine Frau belästigt. Die 60-Jährige hielt sich gegen 10.10 Uhr im Victoriapark auf, als ein ihr ...",in public,"physical violence (e.g. stabbing, rape)",Bad Homburg v.d. Höhe,50.2284412,8.617754999999999,2025-07-02 15:51:00,Wednesday
"Headline: Kamen - Polizei ermittelt Tatverdächtigen nach Beziehungsstreit

Description: Am Dienstag (01.07.2025) kam es gegen 19.10 Uhr zu Beziehungsstreitigkeiten zwischen einer 38-Jährigen Ukrainerin aus Lünen und einem 55-Jährigen Usbeken aus Dortmund. Ausgetragen wurde der Streit in einem Lebensmittelgeschäft an der Königsberger Straße in Kamen-Mitte. Der Mann kam dorthin mit der Absicht, ein Gespräch mit seiner Ex-Frau führen zu ...",private environment,"harassment (e.g. verbal, exhibitionism)",Kamen,51.5882752,7.6590458,2025-07-02 15:24:00,Wednesday
"Headline: Polizei ermittelt nach sexueller Belästigung und bittet um Zeugenhinweise

Description: Innenstadt - Am Dienstag (01.07.2025) belästigen ein bislang unbekannter Täter eine 28-Jährige in der Berliner Allee. Gegen 22.00 Uhr war die 28-Jährige auf Höhe der Hausnummer 51 zu Fuß auf dem Geh- und Radweg am Westufer des Lechs unterwegs. Hierbei berührte sie der bislang unbekannte ...",in public,"physical violence (e.g. stabbing, rape)",Augsburg,48.3705449,10.89779,2025-07-02 14:37:00,Wednesday
"Headline: Sexuelle Belästigung im Schlosspark Celle - Zeugen gesucht

Description: Celle - Am Dienstag, den 01.07.2025, ist es zwischen 16:30 und 17:10 Uhr im Schlosspark Celle durch einen unbekannten männlichen Täter zu einer sexuellen Belästigung gekommen. Der Mann soll zwei 13-jährigen Mädchen von der Stechbahn bis zum Spielplatz im Schlosspark gefolgt sein. Dabei hat er sich immer wieder in den Schritt gefasst und den Mädchen zugewunken. Im Anschluss hat der Mann auf dem ...",in public,"harassment (e.g. verbal, exhibitionism)",Celle,52.6263797,10.080865,2025-07-02 14:35:00,Wednesday
"Headline: Sexuelle Belästigung im Regionalzug / Bundespolizei sucht Zeugen

Description: Am Montagmittag (30.06.) wurde eine 17-jährige deutsche Staatsangehörige gegen 13:30 Uhr in einem Regionalzug (SWE87374) auf der Fahrt von Offenburg nach Oberkirch sexuell belästigt. Der Polizeiposten Oberkirch konnte den Täter, einen gambischen Staatsangehörigen, stellen. Gegen den 19-Jährigen wurde ein Strafverfahren wegen sexueller ...",relationship unclear,"harassment (e.g. verbal, exhibitionism)",Offenburg/Oberkirch,48.473451,7.9498017,2025-07-02 13:36:00,Wednesday
"Headline: Handgreiflicher Hagener wird in Gewahrsam genommen und angezeigt

Description: Im Bereich der Innenstadt wurde eine Hagenerin Dienstagvormittag (01.07.2025) durch ihren Ehemann verletzt, sie musste in einem Krankenhaus ambulant behandelt werden. Ihr polizeibekannter 36-jähriger Mann habe ihr ohne Ankündigung mehrfach mit beiden Fäusten ins Gesicht und auf den Kopf geschlagen. Nachdem die Polizei eingetroffen war, verhielt ...",private environment,"physical violence (e.g. stabbing, rape)",Hagen-Mitte,51.3600454,7.4676731,2025-07-02 11:50:00,Wednesday
"Headline: Person kommt Platzverweis nicht nach und leistet Widerstand

Description: Da ein 26-Jähriger im Hauptbahnhof Freiburg im Breisgau eine Reisende belästigt haben soll, erteilte ihm die Bundespolizei einen Platzverweis. Als er diesem nicht nachkam, nahmen die Einsatzkräfte ihn in Gewahrsam. Am Dienstagabend (01.07.2025) erhielt die Bundespolizei die Information über eine alkoholisierte Person im Bahnhof. Eine ...",relationship unclear,"harassment (e.g. verbal, exhibitionism)",Freiburg im Breisgau,47.9990077,7.842104299999999,2025-07-02 11:07:00,Wednesday
"Headline: Bedrohung einer 17-Jährigen im Zug nach Pforzheim

Description: Dienstagabend (1. Juli) ist es im RE 1 von Karlsruhe nach Pforzheim zu einer Bedrohung gegenüber einer 17-jährigen Frau gekommen. Der Tatverdächtige ist bislang unbekannt. Gegen 21:40 Uhr befand sich die 17-jährige syrische Geschädigte im RE 1 auf der Fahrt nach Pforzheim, als sich ein ihr unbekannter Mann neben sie setzte. Dabei telefonierte er lautstark in arabischer Sprache, was die ...",in public,"harassment (e.g. verbal, exhibitionism)","Karlsruhe, Pforzheim",48.8921862,8.6946286,2025-07-02 10:59:00,Wednesday
"Headline: Voerde - Mann nimmt exhibitionistische Handlungen an sich vor - Polizei sucht Zeugen

Description: Am Dienstag gegen 17.30 Uhr zeigte sich ein Unbekannter gegenüber einer Jugendlichen und einer jungen Frau in schamverletzender Weise am Tenderingsweg. Die 16-jährige Hünxerin und die 19-jährige Voerderin befanden sich gegen 17.15 Uhr an einem abgelegenen Abschnitt des Tenderingssees. Dieser befindet sich an der dem Eingang des Strandbades ...",in public,"harassment (e.g. verbal, exhibitionism)",Voerde,51.6005212,6.6544111,2025-07-02 10:54:00,Wednesday
